nama_provinsi;luas_panen;produksi
Prov. Nanggroe Aceh Darussalam;16756;19056
Prov. Sumatera Utara;24607;24801
Prov. Sumatera Barat;7229;6894
Prov. Riau;3656;3799
Prov. Jambi;3131;3405
Prov. Sumatera Selatan;18199;18854
Prov. Bengkulu;8770;8594
Prov. Lampung;10820;12123
Prov. Kepulauan Bangka Belitung;0;0
Prov. Kepulauan Riau;0;0
Prov. DKI Jakarta;27;28
Prov. Jawa Barat;89306;97780
Prov. Jawa Tengah;113920;117692
Prov. D I Yogyakarta;36106;30762
Prov. Jawa Timur;156080;158958
Prov. Banten;0;0
Prov. Bali;11870;13936
Prov. Nusa Tenggara Barat;19920;22153
Prov. Nusa Tenggara Timur;7424;6284
Prov. Kalimantan Barat;2388;1865
Prov. Kalimantan Tengah;994;1105
Prov. Kalimantan Selatan;14311;12671
Prov. Kalimantan Timur;3406;3330
Prov. Sulawesi Utara;4932;4690
Prov. Sulawesi Tengah;5029;4289
Prov. Sulawesi Selatan;48387;49036
Prov. Sulawesi Tenggara;5255;4645
Prov. Gorontalo;0;0
Prov. Sulawesi Barat;0;0
Prov. Maluku;5037;5677
Prov. Maluku Utara;0;0
Prov. Papua Barat;0;0
Prov. Papua;3528;3304
Prov. Nanggroe Aceh Darussalam;18939;23380
Prov. Sumatera Utara;27556;28134
Prov. Sumatera Barat;9649;9523
Prov. Riau;5030;4556
Prov. Jambi;3270;2658
Prov. Sumatera Selatan;10490;10322
Prov. Bengkulu;8002;6861
Prov. Lampung;9801;10294
Prov. Kepulauan Bangka Belitung;0;0
Prov. Kepulauan Riau;0;0
Prov. DKI Jakarta;7;7
Prov. Jawa Barat;89327;98286
Prov. Jawa Tengah;111738;112658
Prov. D I Yogyakarta;46224;37118
Prov. Jawa Timur;148737;139405
Prov. Banten;0;0
Prov. Bali;13515;14300
Prov. Nusa Tenggara Barat;22553;24077
Prov. Nusa Tenggara Timur;9805;6180
Prov. Kalimantan Barat;2549;2219
Prov. Kalimantan Tengah;1070;1001
Prov. Kalimantan Selatan;14529;13595
Prov. Kalimantan Timur;3321;2903
Prov. Sulawesi Utara;7611;7494
Prov. Sulawesi Tengah;7781;6547
Prov. Sulawesi Selatan;54031;53249
Prov. Sulawesi Tenggara;5699;5370
Prov. Gorontalo;0;0
Prov. Sulawesi Barat;0;0
Prov. Maluku;3832;4250
Prov. Maluku Utara;0;0
Prov. Papua Barat;0;0
Prov. Papua;3225;2980
Prov. Nanggroe Aceh Darussalam;30601;32517
Prov. Sumatera Utara;31751;32115
Prov. Sumatera Barat;10315;9842
Prov. Riau;4579;4354
Prov. Jambi;3673;4053
Prov. Sumatera Selatan;15176;17897
Prov. Bengkulu;9616;8920
Prov. Lampung;16947;20470
Prov. Kepulauan Bangka Belitung;0;0
Prov. Kepulauan Riau;0;0
Prov. DKI Jakarta;8;8
Prov. Jawa Barat;105145;117408
Prov. Jawa Tengah;129970;136847
Prov. D I Yogyakarta;42384;35869
Prov. Jawa Timur;150585;145104
Prov. Banten;0;0
Prov. Bali;14263;15490
Prov. Nusa Tenggara Barat;24540;25709
Prov. Nusa Tenggara Timur;10543;8938
Prov. Kalimantan Barat;2629;2196
Prov. Kalimantan Tengah;1367;1587
Prov. Kalimantan Selatan;19254;20069
Prov. Kalimantan Timur;4627;4169
Prov. Sulawesi Utara;8045;8004
Prov. Sulawesi Tengah;7590;6444
Prov. Sulawesi Selatan;77837;86258
Prov. Sulawesi Tenggara;5843;3927
Prov. Gorontalo;0;0
Prov. Sulawesi Barat;0;0
Prov. Maluku;3838;4425
Prov. Maluku Utara;0;0
Prov. Papua Barat;0;0
Prov. Papua;4334;3717
Prov. Nanggroe Aceh Darussalam;19704;22639
Prov. Sumatera Utara;29465;30330
Prov. Sumatera Barat;10028;10702
Prov. Riau;4127;3820
Prov. Jambi;3021;3403
Prov. Sumatera Selatan;14922;17435
Prov. Bengkulu;9221;8740
Prov. Lampung;14524;16314
Prov. Kepulauan Bangka Belitung;0;0
Prov. Kepulauan Riau;0;0
Prov. DKI Jakarta;12;12
Prov. Jawa Barat;93055;106128
Prov. Jawa Tengah;125226;133943
Prov. D I Yogyakarta;52133;48866
Prov. Jawa Timur;151191;161448
Prov. Banten;0;0
Prov. Bali;14016;15923
Prov. Nusa Tenggara Barat;24722;26257
Prov. Nusa Tenggara Timur;10914;10164
Prov. Kalimantan Barat;2471;2235
Prov. Kalimantan Tengah;1371;1238
Prov. Kalimantan Selatan;18620;20426
Prov. Kalimantan Timur;3326;3265
Prov. Sulawesi Utara;10318;11285
Prov. Sulawesi Tengah;6642;6351
Prov. Sulawesi Selatan;54231;62977
Prov. Sulawesi Tenggara;5992;4325
Prov. Gorontalo;0;0
Prov. Sulawesi Barat;0;0
Prov. Maluku;2697;3037
Prov. Maluku Utara;0;0
Prov. Papua Barat;0;0
Prov. Papua;3756;3217
Prov. Nanggroe Aceh Darussalam;16936;20288
Prov. Sumatera Utara;30191;31188
Prov. Sumatera Barat;9331;10021
Prov. Riau;3246;3144
Prov. Jambi;2182;2469
Prov. Sumatera Selatan;11351;12630
Prov. Bengkulu;9522;9215
Prov. Lampung;8542;10061
Prov. Kepulauan Bangka Belitung;0;0
Prov. Kepulauan Riau;0;0
Prov. DKI Jakarta;6;6
Prov. Jawa Barat;86289;100626
Prov. Jawa Tengah;118290;132751
Prov. D I Yogyakarta;48647;48520
Prov. Jawa Timur;147095;158626
Prov. Banten;0;0
Prov. Bali;15510;19052
Prov. Nusa Tenggara Barat;23327;25376
Prov. Nusa Tenggara Timur;10685;10054
Prov. Kalimantan Barat;2262;2087
Prov. Kalimantan Tengah;1807;1680
Prov. Kalimantan Selatan;17210;19162
Prov. Kalimantan Timur;2607;2761
Prov. Sulawesi Utara;7254;7608
Prov. Sulawesi Tengah;5602;5569
Prov. Sulawesi Selatan;34914;41256
Prov. Sulawesi Tenggara;5861;4697
Prov. Gorontalo;0;0
Prov. Sulawesi Barat;0;0
Prov. Maluku;2717;3005
Prov. Maluku Utara;0;0
Prov. Papua Barat;0;0
Prov. Papua;3506;3191
Prov. Nanggroe Aceh Darussalam;8091;9513
Prov. Sumatera Utara;24907;26037
Prov. Sumatera Barat;8364;8804
Prov. Riau;4656;4366
Prov. Jambi;4514;4742
Prov. Sumatera Selatan;8489;9424
Prov. Bengkulu;8147;7824
Prov. Lampung;12390;13007
Prov. Kepulauan Bangka Belitung;0;0
Prov. Kepulauan Riau;0;0
Prov. DKI Jakarta;19;19
Prov. Jawa Barat;92715;104141
Prov. Jawa Tengah;133617;145830
Prov. D I Yogyakarta;49354;43357
Prov. Jawa Timur;147427;152716
Prov. Banten;0;0
Prov. Bali;15954;20414
Prov. Nusa Tenggara Barat;22175;23941
Prov. Nusa Tenggara Timur;9980;9797
Prov. Kalimantan Barat;1701;1586
Prov. Kalimantan Tengah;2035;2048
Prov. Kalimantan Selatan;18145;20943
Prov. Kalimantan Timur;2546;2627
Prov. Sulawesi Utara;5607;6209
Prov. Sulawesi Tengah;4005;4013
Prov. Sulawesi Selatan;46802;53847
Prov. Sulawesi Tenggara;8647;6605
Prov. Gorontalo;0;0
Prov. Sulawesi Barat;0;0
Prov. Maluku;2117;2251
Prov. Maluku Utara;0;0
Prov. Papua Barat;0;0
Prov. Papua;4064;3627
Prov. Nanggroe Aceh Darussalam;9131;11124
Prov. Sumatera Utara;22297;21986
Prov. Sumatera Barat;8130;9005
Prov. Riau;4737;4089
Prov. Jambi;3614;3554
Prov. Sumatera Selatan;12338;13756
Prov. Bengkulu;6216;6156
Prov. Lampung;6956;7467
Prov. Kepulauan Bangka Belitung;0;0
Prov. Kepulauan Riau;0;0
Prov. DKI Jakarta;22;22
Prov. Jawa Barat;88117;98661
Prov. Jawa Tengah;126409;135522
Prov. D I Yogyakarta;48814;47066
Prov. Jawa Timur;159504;162885
Prov. Banten;0;0
Prov. Bali;13873;16416
Prov. Nusa Tenggara Barat;21880;23690
Prov. Nusa Tenggara Timur;12220;11848
Prov. Kalimantan Barat;1745;1642
Prov. Kalimantan Tengah;2069;2246
Prov. Kalimantan Selatan;15127;17180
Prov. Kalimantan Timur;3635;3556
Prov. Sulawesi Utara;6416;6617
Prov. Sulawesi Tengah;6891;7710
Prov. Sulawesi Selatan;28913;33647
Prov. Sulawesi Tenggara;8909;6897
Prov. Gorontalo;0;0
Prov. Sulawesi Barat;0;0
Prov. Maluku;3220;3491
Prov. Maluku Utara;0;0
Prov. Papua Barat;0;0
Prov. Papua;3797;3353
Prov. Nanggroe Aceh Darussalam;7453;9179
Prov. Sumatera Utara;22799;23901
Prov. Sumatera Barat;7807;8583
Prov. Riau;4159;3882
Prov. Jambi;2394;0
Prov. Sumatera Selatan;7050;7731
Prov. Bengkulu;5722;5628
Prov. Lampung;9163;9532
Prov. Kepulauan Bangka Belitung;0;0
Prov. Kepulauan Riau;0;0
Prov. DKI Jakarta;34;34
Prov. Jawa Barat;96616;109368
Prov. Jawa Tengah;143558;160050
Prov. D I Yogyakarta;54355;53918
Prov. Jawa Timur;171265;180252
Prov. Banten;0;0
Prov. Bali;12771;15086
Prov. Nusa Tenggara Barat;24605;27515
Prov. Nusa Tenggara Timur;15317;15009
Prov. Kalimantan Barat;1885;1923
Prov. Kalimantan Tengah;2847;2979
Prov. Kalimantan Selatan;15969;16981
Prov. Kalimantan Timur;2360;2356
Prov. Sulawesi Utara;7850;8291
Prov. Sulawesi Tengah;5599;6110
Prov. Sulawesi Selatan;41891;48156
Prov. Sulawesi Tenggara;9763;8100
Prov. Gorontalo;0;0
Prov. Sulawesi Barat;0;0
Prov. Maluku;1958;2197
Prov. Maluku Utara;0;0
Prov. Papua Barat;0;0
Prov. Papua;8364;7310
Prov. Nanggroe Aceh Darussalam;4355;5047
Prov. Sumatera Utara;21130;22485
Prov. Sumatera Barat;7630;8712
Prov. Riau;3482;3180
Prov. Jambi;2480;2614
Prov. Sumatera Selatan;5763;6167
Prov. Bengkulu;5545;5472
Prov. Lampung;12250;14022
Prov. Kepulauan Bangka Belitung;313;333
Prov. Kepulauan Riau;0;0
Prov. DKI Jakarta;20;20
Prov. Jawa Barat;73305;86063
Prov. Jawa Tengah;142428;161182
Prov. D I Yogyakarta;58869;50552
Prov. Jawa Timur;162857;176889
Prov. Banten;13225;13097
Prov. Bali;12988;16394
Prov. Nusa Tenggara Barat;27350;30595
Prov. Nusa Tenggara Timur;11677;11304
Prov. Kalimantan Barat;1426;1433
Prov. Kalimantan Tengah;1869;1943
Prov. Kalimantan Selatan;15033;16686
Prov. Kalimantan Timur;2364;2400
Prov. Sulawesi Utara;5282;5982
Prov. Sulawesi Tengah;3190;3662
Prov. Sulawesi Selatan;36570;42156
Prov. Sulawesi Tenggara;9548;7667
Prov. Gorontalo;3202;3627
Prov. Sulawesi Barat;0;0
Prov. Maluku;2404;2681
Prov. Maluku Utara;0;0
Prov. Papua Barat;0;0
Prov. Papua;8283;7405
Prov. Nanggroe Aceh Darussalam;6190;7377
Prov. Sumatera Utara;21432;23296
Prov. Sumatera Barat;7704;8757
Prov. Riau;4493;4142
Prov. Jambi;1764;1807
Prov. Sumatera Selatan;5743;6218
Prov. Bengkulu;6233;6035
Prov. Lampung;8414;9331
Prov. Kepulauan Bangka Belitung;274;286
Prov. Kepulauan Riau;0;0
Prov. DKI Jakarta;22;22
Prov. Jawa Barat;67406;86468
Prov. Jawa Tengah;141537;150527
Prov. D I Yogyakarta;61713;58482
Prov. Jawa Timur;160342;188001
Prov. Banten;13939;14136
Prov. Bali;13779;16251
Prov. Nusa Tenggara Barat;28175;32225
Prov. Nusa Tenggara Timur;12909;13615
Prov. Kalimantan Barat;2220;2385
Prov. Kalimantan Tengah;1454;1574
Prov. Kalimantan Selatan;13835;16884
Prov. Kalimantan Timur;2816;2805
Prov. Sulawesi Utara;3197;3525
Prov. Sulawesi Tengah;5465;6152
Prov. Sulawesi Selatan;39105;42415
Prov. Sulawesi Tenggara;10588;8536
Prov. Gorontalo;2014;2328
Prov. Sulawesi Barat;0;0
Prov. Maluku;972;1117
Prov. Maluku Utara;0;0
Prov. Papua Barat;0;0
Prov. Papua;3218;3374
Prov. Nanggroe Aceh Darussalam;14239;16887
Prov. Sumatera Utara;22962;25097
Prov. Sumatera Barat;7017;7821
Prov. Riau;3642;3363
Prov. Jambi;1836;1993
Prov. Sumatera Selatan;6503;7682
Prov. Bengkulu;6239;6040
Prov. Lampung;10921;12032
Prov. Kepulauan Bangka Belitung;320;312
Prov. Kepulauan Riau;0;0
Prov. DKI Jakarta;18;18
Prov. Jawa Barat;67022;90170
Prov. Jawa Tengah;147226;174332
Prov. D I Yogyakarta;69803;57767
Prov. Jawa Timur;165277;194676
Prov. Banten;9668;12256
Prov. Bali;14234;18452
Prov. Nusa Tenggara Barat;34039;40489
Prov. Nusa Tenggara Timur;13040;13637
Prov. Kalimantan Barat;1690;1854
Prov. Kalimantan Tengah;1833;1989
Prov. Kalimantan Selatan;13195;16455
Prov. Kalimantan Timur;2355;2352
Prov. Sulawesi Utara;4363;4683
Prov. Sulawesi Tengah;5368;5924
Prov. Sulawesi Selatan;43385;52763
Prov. Sulawesi Tenggara;8700;7883
Prov. Gorontalo;3344;3189
Prov. Sulawesi Barat;0;0
Prov. Maluku;1360;1492
Prov. Maluku Utara;1547;1748
Prov. Papua Barat;0;0
Prov. Papua;2391;2170
Prov. Nanggroe Aceh Darussalam;12363;14687
Prov. Sumatera Utara;26029;28708
Prov. Sumatera Barat;8275;9949
Prov. Riau;3554;3349
Prov. Jambi;1996;2220
Prov. Sumatera Selatan;5461;7187
Prov. Bengkulu;5852;5814
Prov. Lampung;10464;11423
Prov. Kepulauan Bangka Belitung;716;702
Prov. Kepulauan Riau;0;0
Prov. DKI Jakarta;24;24
Prov. Jawa Barat;72117;97724
Prov. Jawa Tengah;155634;184316
Prov. D I Yogyakarta;68010;61048
Prov. Jawa Timur;180082;212325
Prov. Banten;10487;13752
Prov. Bali;15179;19256
Prov. Nusa Tenggara Barat;41020;49226
Prov. Nusa Tenggara Timur;17225;17680
Prov. Kalimantan Barat;1755;1992
Prov. Kalimantan Tengah;2197;2409
Prov. Kalimantan Selatan;14267;16440
Prov. Kalimantan Timur;2341;2507
Prov. Sulawesi Utara;5132;5554
Prov. Sulawesi Tengah;6038;7307
Prov. Sulawesi Selatan;36726;41191
Prov. Sulawesi Tenggara;8686;7026
Prov. Gorontalo;4333;5536
Prov. Sulawesi Barat;0;0
Prov. Maluku;1665;1876
Prov. Maluku Utara;2786;3263
Prov. Papua Barat;0;0
Prov. Papua;3020;3004
Prov. Nanggroe Aceh Darussalam;12984;15597
Prov. Sumatera Utara;19195;21042
Prov. Sumatera Barat;8433;10501
Prov. Riau;3749;3526
Prov. Jambi;2000;2315
Prov. Sumatera Selatan;7328;9756
Prov. Bengkulu;6844;6800
Prov. Lampung;10857;11634
Prov. Kepulauan Bangka Belitung;429;395
Prov. Kepulauan Riau;117;105
Prov. DKI Jakarta;18;18
Prov. Jawa Barat;71523;100775
Prov. Jawa Tengah;155146;185797
Prov. D I Yogyakarta;70362;60324
Prov. Jawa Timur;180107;208749
Prov. Banten;13284;17853
Prov. Bali;15183;19742
Prov. Nusa Tenggara Barat;35214;43397
Prov. Nusa Tenggara Timur;14374;14519
Prov. Kalimantan Barat;2492;2746
Prov. Kalimantan Tengah;1382;1506
Prov. Kalimantan Selatan;14598;16735
Prov. Kalimantan Timur;2098;2268
Prov. Sulawesi Utara;5668;6267
Prov. Sulawesi Tengah;6347;9201
Prov. Sulawesi Selatan;36043;39092
Prov. Sulawesi Tenggara;8580;6995
Prov. Gorontalo;4341;5378
Prov. Sulawesi Barat;725;1035
Prov. Maluku;2158;2508
Prov. Maluku Utara;4271;4976
Prov. Papua Barat;2093;2131
Prov. Papua;2583;2612
Prov. Nanggroe Aceh Darussalam;9249;11091
Prov. Sumatera Utara;17991;20118
Prov. Sumatera Barat;8017;10116
Prov. Riau;3619;3387
Prov. Jambi;2059;2431
Prov. Sumatera Selatan;8639;11696
Prov. Bengkulu;7128;7038
Prov. Lampung;10127;11888
Prov. Kepulauan Bangka Belitung;558;525
Prov. Kepulauan Riau;67;60
Prov. DKI Jakarta;26;26
Prov. Jawa Barat;64653;91817
Prov. Jawa Tengah;147677;179067
Prov. D I Yogyakarta;68031;66359
Prov. Jawa Timur;186302;218910
Prov. Banten;14211;18535
Prov. Bali;13433;18040
Prov. Nusa Tenggara Barat;34860;43955
Prov. Nusa Tenggara Timur;17356;17831
Prov. Kalimantan Barat;2178;2397
Prov. Kalimantan Tengah;1863;2050
Prov. Kalimantan Selatan;13900;15759
Prov. Kalimantan Timur;1966;2223
Prov. Sulawesi Utara;5821;7205
Prov. Sulawesi Tengah;7271;10421
Prov. Sulawesi Selatan;36776;41759
Prov. Sulawesi Tenggara;8227;6756
Prov. Gorontalo;2460;2862
Prov. Sulawesi Barat;395;541
Prov. Maluku;2445;2902
Prov. Maluku Utara;4970;5750
Prov. Papua Barat;1919;1936
Prov. Papua;2559;2645
Prov. Nanggroe Aceh Darussalam;6582;7972
Prov. Sumatera Utara;17694;20329
Prov. Sumatera Barat;7185;9671
Prov. Riau;3475;3225
Prov. Jambi;2060;2501
Prov. Sumatera Selatan;5583;7676
Prov. Bengkulu;5477;5430
Prov. Lampung;10698;12756
Prov. Kepulauan Bangka Belitung;612;568
Prov. Kepulauan Riau;71;63
Prov. DKI Jakarta;18;18
Prov. Jawa Barat;63922;91439
Prov. Jawa Tengah;139250;174438
Prov. D I Yogyakarta;66527;56667
Prov. Jawa Timur;167324;196886
Prov. Banten;13715;18171
Prov. Bali;13732;19077
Prov. Nusa Tenggara Barat;25488;32913
Prov. Nusa Tenggara Timur;18517;21353
Prov. Kalimantan Barat;1685;1902
Prov. Kalimantan Tengah;1537;1690
Prov. Kalimantan Selatan;15843;18214
Prov. Kalimantan Timur;2161;2425
Prov. Sulawesi Utara;5756;7562
Prov. Sulawesi Tengah;7312;10808
Prov. Sulawesi Selatan;34011;39740
Prov. Sulawesi Tenggara;8696;7628
Prov. Gorontalo;2591;3336
Prov. Sulawesi Barat;552;777
Prov. Maluku;2562;3061
Prov. Maluku Utara;5374;6186
Prov. Papua Barat;1725;1762
Prov. Papua;2745;2845
Prov. Nanggroe Aceh Darussalam;5214;6322
Prov. Sumatera Utara;16626;19316
Prov. Sumatera Barat;7797;10260
Prov. Riau;2412;2240
Prov. Jambi;1960;2367
Prov. Sumatera Selatan;5757;7499
Prov. Bengkulu;4622;4585
Prov. Lampung;10316;13088
Prov. Kepulauan Bangka Belitung;463;422
Prov. Kepulauan Riau;102;94
Prov. DKI Jakarta;17;17
Prov. Jawa Barat;54103;78512
Prov. Jawa Tengah;135270;171385
Prov. D I Yogyakarta;64087;63240
Prov. Jawa Timur;170437;202345
Prov. Banten;12299;16319
Prov. Bali;12247;16592
Prov. Nusa Tenggara Barat;25541;32348
Prov. Nusa Tenggara Timur;21894;25678
Prov. Kalimantan Barat;1779;2012
Prov. Kalimantan Tengah;1282;1417
Prov. Kalimantan Selatan;14161;16476
Prov. Kalimantan Timur;2223;2465
Prov. Sulawesi Utara;6573;8640
Prov. Sulawesi Tengah;5231;8758
Prov. Sulawesi Selatan;30690;36269
Prov. Sulawesi Tenggara;7781;6938
Prov. Gorontalo;1878;1849
Prov. Sulawesi Barat;528;744
Prov. Maluku;2573;3077
Prov. Maluku Utara;4305;4951
Prov. Papua Barat;958;978
Prov. Papua;2796;2851
Prov. Nanggroe Aceh Darussalam;4707;5926
Prov. Sumatera Utara;14294;16771
Prov. Sumatera Barat;7722;9207
Prov. Riau;2023;2020
Prov. Jambi;1771;2184
Prov. Sumatera Selatan;4797;6459
Prov. Bengkulu;3499;3472
Prov. Lampung;8667;11090
Prov. Kepulauan Bangka Belitung;405;387
Prov. Kepulauan Riau;113;104
Prov. DKI Jakarta;9;9
Prov. Jawa Barat;61498;89454
Prov. Jawa Tengah;124178;162430
Prov. D I Yogyakarta;62539;65893
Prov. Jawa Timur;180557;216474
Prov. Banten;12971;19782
Prov. Bali;11902;15583
Prov. Nusa Tenggara Barat;28750;38615
Prov. Nusa Tenggara Timur;18396;22465
Prov. Kalimantan Barat;1929;2107
Prov. Kalimantan Tengah;1225;1365
Prov. Kalimantan Selatan;13051;15221
Prov. Kalimantan Timur;2294;2547
Prov. Sulawesi Utara;6450;8493
Prov. Sulawesi Tengah;6207;10225
Prov. Sulawesi Selatan;25785;32331
Prov. Sulawesi Tenggara;5999;5089
Prov. Gorontalo;1646;1655
Prov. Sulawesi Barat;711;1001
Prov. Maluku;2618;3133
Prov. Maluku Utara;2766;3181
Prov. Papua Barat;729;751
Prov. Papua;2408;2464
Prov. Nanggroe Aceh Darussalam;5579;7063
Prov. Sumatera Utara;14520;16449
Prov. Sumatera Barat;7280;9162
Prov. Riau;2188;2007
Prov. Jambi;1468;1782
Prov. Sumatera Selatan;4632;6109
Prov. Bengkulu;7030;7253
Prov. Lampung;13967;17617
Prov. Kepulauan Bangka Belitung;360;358
Prov. Kepulauan Riau;156;144
Prov. DKI Jakarta;9;10
Prov. Jawa Barat;67901;99058
Prov. Jawa Tengah;119565;161222
Prov. D I Yogyakarta;58780;58918
Prov. Jawa Timur;172550;207796
Prov. Banten;13862;20381
Prov. Bali;10397;11582
Prov. Nusa Tenggara Barat;25044;33666
Prov. Nusa Tenggara Timur;16574;20069
Prov. Kalimantan Barat;1863;2125
Prov. Kalimantan Tengah;924;1032
Prov. Kalimantan Selatan;12270;14445
Prov. Kalimantan Timur;2091;2468
Prov. Sulawesi Utara;6611;8671
Prov. Sulawesi Tengah;5071;8424
Prov. Sulawesi Selatan;30528;41898
Prov. Sulawesi Tenggara;6918;4942
Prov. Gorontalo;1873;2261
Prov. Sulawesi Barat;1439;2022
Prov. Maluku;2454;2950
Prov. Maluku Utara;3682;4235
Prov. Papua Barat;540;568
Prov. Papua;2437;2541
Prov. Nanggroe Aceh Darussalam;4999;6172
Prov. Sumatera Utara;10773;11093
Prov. Sumatera Barat;7891;11908
Prov. Riau;1819;1692
Prov. Jambi;1315;1680
Prov. Sumatera Selatan;3046;3960
Prov. Bengkulu;6384;6444
Prov. Lampung;10148;12911
Prov. Kepulauan Bangka Belitung;342;339
Prov. Kepulauan Riau;155;143
Prov. DKI Jakarta;7;7
Prov. Jawa Barat;48641;73705
Prov. Jawa Tengah;94662;122306
Prov. D I Yogyakarta;59533;64084
Prov. Jawa Timur;164921;211416
Prov. Banten;10075;12246
Prov. Bali;9926;11212
Prov. Nusa Tenggara Barat;26319;37965
Prov. Nusa Tenggara Timur;19395;23685
Prov. Kalimantan Barat;1428;1767
Prov. Kalimantan Tengah;689;772
Prov. Kalimantan Selatan;10073;12181
Prov. Kalimantan Timur;1514;1817
Prov. Sulawesi Utara;6908;9049
Prov. Sulawesi Tengah;6362;10513
Prov. Sulawesi Selatan;15192;24808
Prov. Sulawesi Tenggara;5887;4540
Prov. Gorontalo;955;979
Prov. Sulawesi Barat;873;1230
Prov. Maluku;2222;2839
Prov. Maluku Utara;4430;5095
Prov. Papua Barat;596;626
Prov. Papua;1979;2105
Prov. Nanggroe Aceh Darussalam;5681;6934
Prov. Sumatera Utara;10154;12074
Prov. Sumatera Barat;6819;9597
Prov. Riau;1723;1622
Prov. Jambi;1203;1535
Prov. Sumatera Selatan;3129;4060
Prov. Bengkulu;5403;5802
Prov. Lampung;8420;10694
Prov. Kepulauan Bangka Belitung;325;325
Prov. Kepulauan Riau;174;164
Prov. DKI Jakarta;1;1
Prov. Jawa Barat;53569;76574
Prov. Jawa Tengah;105679;143687
Prov. D I Yogyakarta;60725;62901
Prov. Jawa Timur;163513;213792
Prov. Banten;10727;11691
Prov. Bali;9572;11616
Prov. Nusa Tenggara Barat;25508;38890
Prov. Nusa Tenggara Timur;19694;21563
Prov. Kalimantan Barat;1383;1663
Prov. Kalimantan Tengah;687;771
Prov. Kalimantan Selatan;10162;12377
Prov. Kalimantan Timur;1479;1809
Prov. Sulawesi Utara;6293;8247
Prov. Sulawesi Tengah;6136;9473
Prov. Sulawesi Selatan;23351;27402
Prov. Sulawesi Tenggara;7496;5199
Prov. Gorontalo;1003;1126
Prov. Sulawesi Barat;741;1001
Prov. Maluku;1529;1941
Prov. Maluku Utara;4824;5745
Prov. Papua Barat;445;487
Prov. Papua;1990;2094
Prov. Nanggroe Aceh Darussalam;3105;3844
Prov. Sumatera Utara;9377;11351
Prov. Sumatera Barat;5904;9093
Prov. Riau;1325;1243
Prov. Jambi;1161;1513
Prov. Sumatera Selatan;2547;3475
Prov. Bengkulu;4370;4679
Prov. Lampung;8305;10676
Prov. Kepulauan Bangka Belitung;341;357
Prov. Kepulauan Riau;169;168
Prov. DKI Jakarta;0;0
Prov. Jawa Barat;54346;91573
Prov. Jawa Tengah;92454;128030
Prov. D I Yogyakarta;65680;70834
Prov. Jawa Timur;150017;207971
Prov. Banten;9273;12810
Prov. Bali;8500;11024
Prov. Nusa Tenggara Barat;30772;41889
Prov. Nusa Tenggara Timur;13880;16056
Prov. Kalimantan Barat;1111;1333
Prov. Kalimantan Tengah;567;637
Prov. Kalimantan Selatan;9148;11238
Prov. Kalimantan Timur;1314;1665
Prov. Sulawesi Utara;6712;8795
Prov. Sulawesi Tengah;3953;7275
Prov. Sulawesi Selatan;18812;28408
Prov. Sulawesi Tenggara;6547;4942
Prov. Gorontalo;956;1282
Prov. Sulawesi Barat;461;560
Prov. Maluku;1264;1426
Prov. Maluku Utara;4069;4755
Prov. Papua Barat;591;639
Prov. Papua;1951;2044
